station_code,station_name,year,horizon,horizon_hours,predictor,total_rows,target_available_samples,predictor_available_samples,usable_samples,usable_pct
1431A,JQLH,2018,14d,336,RH2,8760,7597,8760,7597,86.72374429223744
1431A,JQLH,2019,14d,336,RH2,8760,7920,8760,7920,90.41095890410958
1431A,JQLH,2020,14d,336,RH2,8784,7979,8784,7979,90.8356102003643
1431A,JQLH,2021,14d,336,RH2,8049,7227,8049,7227,89.78755124860231
1431A,JQLH,2015,14d,336,PBLH,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,14d,336,PBLH,8784,8213,8784,8213,93.49954462659382
1431A,JQLH,2017,14d,336,PBLH,8760,8315,8760,8315,94.92009132420091
1431A,JQLH,2018,14d,336,PBLH,8760,7597,8760,7597,86.72374429223744
1431A,JQLH,2019,14d,336,PBLH,8760,7920,8760,7920,90.41095890410958
1431A,JQLH,2020,14d,336,PBLH,8784,7979,8784,7979,90.8356102003643
1431A,JQLH,2021,14d,336,PBLH,8049,7227,8048,7226,89.77512734501181
1431A,JQLH,2015,30d,720,PM10,8760,7633,8112,7613,86.90639269406392
1431A,JQLH,2016,30d,720,PM10,8784,8208,8458,8156,92.85063752276868
1431A,JQLH,2017,30d,720,PM10,8760,8318,8496,8266,94.3607305936073
1431A,JQLH,2018,30d,720,PM10,8760,7560,8063,7452,85.06849315068493
1431A,JQLH,2019,30d,720,PM10,8760,7918,8275,7853,89.64611872146119
1431A,JQLH,2020,30d,720,PM10,8784,7965,8366,7941,90.40300546448088
1431A,JQLH,2021,30d,720,PM10,8049,6856,7796,6847,85.06646788420922
1431A,JQLH,2015,30d,720,SO2,8760,7633,8131,7631,87.11187214611871
1431A,JQLH,2016,30d,720,SO2,8784,8208,8507,8203,93.38570127504553
1431A,JQLH,2017,30d,720,SO2,8760,8318,8539,8303,94.78310502283105
1431A,JQLH,2018,30d,720,SO2,8760,7560,8152,7527,85.92465753424658
1431A,JQLH,2019,30d,720,SO2,8760,7918,8297,7865,89.78310502283105
1431A,JQLH,2020,30d,720,SO2,8784,7965,8371,7921,90.17531876138433
1431A,JQLH,2021,30d,720,SO2,8049,6856,7809,6819,84.71859858367499
1431A,JQLH,2015,30d,720,NO2,8760,7633,8132,7630,87.10045662100457
1431A,JQLH,2016,30d,720,NO2,8784,8208,8506,8204,93.39708561020036
1431A,JQLH,2017,30d,720,NO2,8760,8318,8514,8281,94.53196347031964
1431A,JQLH,2018,30d,720,NO2,8760,7560,8141,7517,85.81050228310502
1431A,JQLH,2019,30d,720,NO2,8760,7918,8249,7817,89.2351598173516
1431A,JQLH,2020,30d,720,NO2,8784,7965,8375,7922,90.18670309653916
1431A,JQLH,2021,30d,720,NO2,8049,6856,7814,6824,84.78071810162753
1431A,JQLH,2015,30d,720,O3-8h,8760,7633,8130,7628,87.07762557077625
1431A,JQLH,2016,30d,720,O3-8h,8784,8208,8510,8207,93.43123861566485
1431A,JQLH,2017,30d,720,O3-8h,8760,8318,8540,8302,94.77168949771689
1431A,JQLH,2018,30d,720,O3-8h,8760,7560,8199,7560,86.3013698630137
1431A,JQLH,2019,30d,720,O3-8h,8760,7918,8357,7917,90.37671232876713
1431A,JQLH,2020,30d,720,O3-8h,8784,7965,8448,7965,90.67622950819673
1431A,JQLH,2021,30d,720,O3-8h,8049,6856,7767,6786,84.30860976518822
1431A,JQLH,2015,30d,720,CO,8760,7633,8135,7633,87.13470319634703
1431A,JQLH,2016,30d,720,CO,8784,8208,8510,8207,93.43123861566485
1431A,JQLH,2017,30d,720,CO,8760,8318,8516,8282,94.54337899543378
1431A,JQLH,2018,30d,720,CO,8760,7560,8165,7539,86.06164383561644
1431A,JQLH,2019,30d,720,CO,8760,7918,8299,7867,89.80593607305936
1431A,JQLH,2020,30d,720,CO,8784,7965,8377,7925,90.22085610200364
1431A,JQLH,2021,30d,720,CO,8049,6856,7799,6815,84.66890296931295
1431A,JQLH,2015,30d,720,U10,8760,7633,8753,7633,87.13470319634703
