station_code,station_name,year,rows,variable,missing_count,missing_pct
1434A,SHP,2017,8760,U10,0,0.0
1434A,SHP,2017,8760,V10,0,0.0
1434A,SHP,2017,8760,T2,0,0.0
1434A,SHP,2017,8760,RH2,0,0.0
1434A,SHP,2017,8760,PBLH,0,0.0
1434A,SHP,2018,8760,AQI,626,7.146118721461186
1434A,SHP,2018,8760,PM2.5,648,7.397260273972603
1434A,SHP,2018,8760,PM10,681,7.773972602739726
1434A,SHP,2018,8760,SO2,668,7.625570776255708
1434A,SHP,2018,8760,NO2,699,7.979452054794521
1434A,SHP,2018,8760,O3-8h,627,7.157534246575342
1434A,SHP,2018,8760,CO,655,7.4771689497716896
1434A,SHP,2018,8760,U10,0,0.0
1434A,SHP,2018,8760,V10,0,0.0
1434A,SHP,2018,8760,T2,0,0.0
1434A,SHP,2018,8760,RH2,0,0.0
1434A,SHP,2018,8760,PBLH,0,0.0
1434A,SHP,2019,8760,AQI,737,8.41324200913242
1434A,SHP,2019,8760,PM2.5,711,8.116438356164384
1434A,SHP,2019,8760,PM10,895,10.21689497716895
1434A,SHP,2019,8760,SO2,612,6.986301369863014
1434A,SHP,2019,8760,NO2,681,7.773972602739726
1434A,SHP,2019,8760,O3-8h,561,6.404109589041096
1434A,SHP,2019,8760,CO,609,6.952054794520548
1434A,SHP,2019,8760,U10,0,0.0
1434A,SHP,2019,8760,V10,0,0.0
1434A,SHP,2019,8760,T2,0,0.0
1434A,SHP,2019,8760,RH2,0,0.0
1434A,SHP,2019,8760,PBLH,0,0.0
1434A,SHP,2020,8784,AQI,357,4.064207650273223
1434A,SHP,2020,8784,PM2.5,299,3.4039162112932604
1434A,SHP,2020,8784,PM10,269,3.0623861566484516
1434A,SHP,2020,8784,SO2,273,3.1079234972677594
1434A,SHP,2020,8784,NO2,285,3.2445355191256833
1434A,SHP,2020,8784,O3-8h,210,2.390710382513661
1434A,SHP,2020,8784,CO,254,2.8916211293260474
1434A,SHP,2020,8784,U10,0,0.0
1434A,SHP,2020,8784,V10,0,0.0
1434A,SHP,2020,8784,T2,0,0.0
1434A,SHP,2020,8784,RH2,0,0.0
1434A,SHP,2020,8784,PBLH,0,0.0
1434A,SHP,2021,8049,AQI,277,3.441421294570754
1434A,SHP,2021,8049,PM2.5,148,1.8387377313952045
1434A,SHP,2021,8049,PM10,156,1.9381289601192695
1434A,SHP,2021,8049,SO2,167,2.0747918996148593
1434A,SHP,2021,8049,NO2,168,2.087215803205367
1434A,SHP,2021,8049,O3-8h,208,2.5841719468256925
1434A,SHP,2021,8049,CO,160,1.987824574481302
1434A,SHP,2021,8049,U10,1,0.012423903590508137
1434A,SHP,2021,8049,V10,1,0.012423903590508137
1434A,SHP,2021,8049,T2,1,0.012423903590508137
1434A,SHP,2021,8049,RH2,0,0.0
1434A,SHP,2021,8049,PBLH,1,0.012423903590508137
1437A,JPJ,2015,8760,AQI,589,6.723744292237443
1437A,JPJ,2015,8760,PM2.5,590,6.735159817351597
1437A,JPJ,2015,8760,PM10,597,6.815068493150685
1437A,JPJ,2015,8760,SO2,595,6.792237442922374
