station_code,station_name,year,horizon,horizon_hours,total_rows,usable_samples,unusable_samples,usable_pct
3136A,LQXQ,2018,48h,48,8760,7747,1013,88.43607305936074
3136A,LQXQ,2019,48h,48,8760,7787,973,88.89269406392694
3136A,LQXQ,2020,48h,48,8784,8305,479,94.54690346083788
3136A,LQXQ,2021,48h,48,8049,7613,436,94.58317803453845
3136A,LQXQ,2015,72h,72,8760,7110,1650,81.16438356164383
3136A,LQXQ,2017,72h,72,8760,7439,1321,84.92009132420091
3136A,LQXQ,2018,72h,72,8760,7670,1090,87.55707762557078
3136A,LQXQ,2019,72h,72,8760,7754,1006,88.51598173515983
3136A,LQXQ,2020,72h,72,8784,8288,496,94.35336976320583
3136A,LQXQ,2021,72h,72,8049,7582,467,94.1980370232327
3136A,LQXQ,2015,7d,168,8760,7134,1626,81.43835616438356
3136A,LQXQ,2017,7d,168,8760,7353,1407,83.93835616438356
3136A,LQXQ,2018,7d,168,8760,7573,1187,86.44977168949771
3136A,LQXQ,2019,7d,168,8760,7777,983,88.77853881278538
3136A,LQXQ,2020,7d,168,8784,8294,490,94.4216757741348
3136A,LQXQ,2021,7d,168,8049,7485,564,92.99291837495342
3136A,LQXQ,2015,14d,336,8760,7141,1619,81.51826484018265
3136A,LQXQ,2017,14d,336,8760,7364,1396,84.06392694063926
3136A,LQXQ,2018,14d,336,8760,7560,1200,86.3013698630137
3136A,LQXQ,2019,14d,336,8760,7728,1032,88.21917808219179
3136A,LQXQ,2020,14d,336,8784,8290,494,94.37613843351548
3136A,LQXQ,2021,14d,336,8049,7310,739,90.8187352466145
3136A,LQXQ,2015,30d,720,8760,7151,1609,81.63242009132419
3136A,LQXQ,2017,30d,720,8760,7378,1382,84.22374429223744
3136A,LQXQ,2018,30d,720,8760,7523,1237,85.87899543378995
3136A,LQXQ,2019,30d,720,8760,7803,957,89.07534246575342
3136A,LQXQ,2020,30d,720,8784,8288,496,94.35336976320583
3136A,LQXQ,2021,30d,720,8049,6944,1105,86.27158653248851
3358A,LJL,2015,48h,48,8760,7278,1482,83.08219178082192
3358A,LJL,2016,48h,48,8784,7968,816,90.7103825136612
3358A,LJL,2017,48h,48,8760,8340,420,95.2054794520548
3358A,LJL,2018,48h,48,8760,7721,1039,88.1392694063927
3358A,LJL,2019,48h,48,8760,7961,799,90.87899543378995
3358A,LJL,2020,48h,48,8784,8488,296,96.63023679417122
3358A,LJL,2021,48h,48,8049,7461,588,92.69474468878121
3358A,LJL,2015,72h,72,8760,7284,1476,83.15068493150685
3358A,LJL,2016,72h,72,8784,7960,824,90.61930783242259
